address,c_b_no,Borough
1000 PACIFIC STREET,308,BROOKLYN
37-12 31 STREET,401,QUEENS
200 EAST 75 STREET,108,MANHATTAN
1211 1 AVENUE,108,MANHATTAN
409 EAST 158 STREET,201,BRONX
290 WATER STREET,302,BROOKLYN
217 9 STREET,306,BROOKLYN
96 DEKALB AVENUE,302,BROOKLYN
150 LAWRENCE STREET,302,BROOKLYN
1511 PARK PLACE,308,BROOKLYN
54-31 MYRTLE AVENUE,405,QUEENS
1529 BROOKLYN AVENUE,317,BROOKLYN
1614 FULTON STREET,303,BROOKLYN
1435 BROADWAY,401,QUEENS
299 3 AVENUE,106,MANHATTAN
41-34 45 STREET,402,QUEENS
11-24 31 DRIVE,401,QUEENS
1335 3 AVENUE,108,MANHATTAN
240 HUNTINGTON STREET,306,BROOKLYN
305 WEST 48 STREET,104,MANHATTAN
521 WEST  134 STREET,109,MANHATTAN
22 EAST 103 STREET,111,MANHATTAN
74-02 GRAND AVENUE,405,QUEENS
532 UNION STREET,306,BROOKLYN
